url,user name,ratings,review title,review
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,VIGNESH S V,4.0 out of 5 stars,"Product is good, but when battery drained got an issue",Product is good. But I had issue with battery. I left it unused for a month and battery got drained totally. I contacted customer care and they were very helpful and they promised for replacement
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,srikanth,4.0 out of 5 stars,Good,"Good, able to support up to 2 hours power backup."
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,shravan paralikar,4.0 out of 5 stars,Good After sales experience,"Good product, after few months had some issues but Prashanth help to get replacement of the same. I would say good after sales experience."
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,Naresh Reddy,4.0 out of 5 stars,Good product for router power backup,Nice product for router power backup
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,Amazon Customer,4.0 out of 5 stars,"Good product, helpful during powercute, it's been a month and this  product is working fine.","It's very easy to install, comes with 1yr warranty which is a good deal for this price."
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,Venkat,4.0 out of 5 stars,Product had a defect but Customer service is good. There are replacing my product now,Customer service is good
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,Ashray Manohar,4.0 out of 5 stars,Useful product,I like this mini ups. I am using this for CCTV DVR and is working fine.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,Abd,4.0 out of 5 stars,Good product,Purachased it one week ago. Working fine and properly.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,Amazon Customer,4.0 out of 5 stars,Good backup,Good product at reasonable price. Backup.is quite good. Approx 2 hours.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,Shalini,4.0 out of 5 stars,Good product,Very helpful
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,vedansh j.,4.0 out of 5 stars,Works like expected,"Works fine,great for ppl who have frequent power cuts."
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_6?ie=UTF8&pageNumber=6&reviewerType=all_reviews,Prashant Sri,4.0 out of 5 stars,Must have product with great customer support 👍🏻,"Bought this few months ago, getting around 10mins backup for my xtream device. Customer support is great they understand your query perfectly and resolve your issues as quick as possible."
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,kiran c,4.0 out of 5 stars,"Useful product, servers it’s purpose",Gives decent backup and good customer care service.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,Pooja Singh,4.0 out of 5 stars,Customer support review,"I purchased this product Aug2022,  had some issue with the ups. Customer support helped me through the process of replacement. Thank you Zishan fot the help."
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,Preity Khandelwal,4.0 out of 5 stars,Good product,The product is Good but it stopped working due some technical issue. The support by the seller is superb. They were very responsive and offered to replace instantly.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,Shraddha,4.0 out of 5 stars,Very useful product - but hardware is not so sturdy,"I used this product for about 4 months and really had no issues with it, until I noticed that my internet stopped working. After getting it checked I found out that the issue was in the UPS (maybe wiring cable) which stopped transmission.I contacted the customer care and I was assisted by Mr. Ankit. He was very helpful and asked me to demonstrate the issue in video and tried to ascertain the issue through other checkups too. After ascertaining that the issue is in the product he confirmed to get the default product replaced and started the issue and informed me on tentative timelines for the same. Hoping to receive the replacement soon so that I can continue uninterrupted internet !!"
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,vishwas,4.0 out of 5 stars,Power back is nice.,"Overall nice product, no issues till now."
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,jiffthomson,4.0 out of 5 stars,Excellent customer support,"After 3 months I noticed the battery backup reduced to 30minutes. The product became useless for me. But when I complained and whatsapp the details to customer support ,the agent (Rabia) provided me the solution in 10 minutes. I am getting my replacement very soon. Thanks to support team."
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,Rohit,4.0 out of 5 stars,Nice service,Nice service for this product
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,Mandeep,4.0 out of 5 stars,Zero Backup,Very poor backup. Works only for 5 mins when no power.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,Osheen A.,4.0 out of 5 stars,Satisfied,Great product and service
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&pageNumber=7&reviewerType=all_reviews,Macquin,4.0 out of 5 stars,Amazing oakter customer support,"I had an issue while connecting the device initially as it was not working properly, I contacted the customer support of oakter and got an amazing response from Rabia who helped me with my queries."
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,Priya Nagavalli,4.0 out of 5 stars,Good one,Good product
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,Prachi,4.0 out of 5 stars,Very good n useful product!,Mini UPS is a very viable solution to maintain consistency in your internet connectivity throughout the day.. Oakter has a wonderful product which is light on the pocket as well (under budget). Recommended by my colleague to me and I further recommend to my friends and family.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,Shubham Sharma,4.0 out of 5 stars,Worth to use it,It worked well but you need to make sure to use right charger
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,Amazon Customer,4.0 out of 5 stars,Customer support is really good. Was facing backup issue but replaced with new product,Thank you for technical support for quick response and exchange of product.The product works really well during short power cuts.
https://www.amazon.in/Mini-UPS-Router-WiFi-12V/product-reviews/B08HLZ28QC/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,Uday Kumar Jagini,4.0 out of 5 stars,Excellent product,I’ve been using this last 6 months and working well. Very Good product
